"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"TJA-008";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/eestis-ajutiselt-tegutsevad-valisettevotted-2/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-009";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-010";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-011";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-012";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-013";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-014";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-015";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-016";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-017";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-018";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-019";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-020";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-022";"Ohutus";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-023";"Ohutus";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-024";"Ohutus";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/riigiloiv-8/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-028";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/kohustuslik-dokumentatsioon-3/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-029";"Ohutus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/onnetused-ja-haireteated/?highlight=%C3%B5nnetusest,teavitamine";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-030";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://tja.ee/mootevahendid-2/?tpl=1116";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-038";"Töökeskkond ja personal";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/onnetused-ja-haireteated/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-040";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-045";"Side ja meedia";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/sagedusloa-taotlemine-ja-andmine/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-046";"Liiklus ja liiklusvahendid";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/onnetused-ja-haireteated/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-047";"Side ja meedia";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/numbriluba/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-048";"Side ja meedia";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/numbriluba/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-049";"Side ja meedia";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"https://www.riigiteataja.ee/akt/130122014007";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-050";"Ohutus";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/digitaalallkiri/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-051";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/digitaalallkiri/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-052";"Side ja meedia";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/meediateenused/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-053";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/meediateenused/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-057";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/maarused-3/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-058";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/ohutustunnistus/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-059";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-060";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-061";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/vedurijuhiluba-ja-sertifikaat/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-062";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/ohtlike-kaupade-raudteeveo-ohutusnounikud/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-063";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/ohtlike-kaupade-raudteeveo-ohutusnounikud/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-064";"Liiklus ja liiklusvahendid";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-065";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/raudteeveeremi-registreerimine/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-067";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-068";"Transport";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/raudteeveeremi-registreerimine/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-070";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/labilaskevoime-jaotamine/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-071";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-072";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-073";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-074";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-076";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/tegutsemise-ohutustunnistus/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-077";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/ehitusluba/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-078";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/kirjalik-nousolek";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-080";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://tja.ee/raudtee-registreerimine/";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-082";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-083";"Transport";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-084";"Transport";"Riigilõivud / Maksud";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-085";"Transport";"Toetus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-086";"Transport";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Kliendile tasuta";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"TJA-087";"Ohutus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tehnilise Järelevalve Amet";"Riigilõiv, riigimaks (tollimaks)";"http://www.tja.ee/poordu-ameti-poole";"Epost.ajakulu";0;"Epost";"ajakulu"
"VTA-005";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Riigilõiv, riigimaks (tollimaks)";"http://adam.vta.ee/teenused/info/dokumendid/teenusstandardid/laevapereta_prahitud_laevade_registri_muudatus_ja_kustutamine.pdf";"Epost.ajakulu";0;"Epost";"ajakulu"
"VTA-023";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://adam.vta.ee/teenused/info/dokumendid/teenusstandardid/ajutise_liputunnistuse_valjastamine.pdf";"Epost.ajakulu";0;"Epost";"ajakulu"
"VTA-025";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://adam.vta.ee/teenused/info/dokumendid/teenusstandardid/laeva_nime_kooskolastamise_teenusstandard.pdf";"Epost.ajakulu";0;"Epost";"ajakulu"
"VTA-046";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/public/Laeva_registreerimine_Eesti_lipu_alla_2015.pdf";"Epost.ajakulu";0;"Epost";"ajakulu"
"VTA-047";"Merendus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Veeteede Amet";"Kliendile tasuta";"http://www.vta.ee/navigatsioonimarkide-andmekogu/";"Epost.ajakulu";0;"Epost";"ajakulu"
"RIA-008";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/x-tee-keskkonnad/";"Epost.ajakulu";0;"Epost";"ajakulu"
"RIA-010";"Riigi infosüsteemide kasutamine";"Kinnitus / tõend";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/dokumendivahetus/";"Epost.ajakulu";0;"Epost";"ajakulu"
"RIA-011";"Riigi infosüsteemide kasutamine";"Interaktiivne infoteenus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"http://www.id.ee/";"Epost.ajakulu";0;"Epost";"ajakulu"
"RIA-030";"Riigi infosüsteemide kasutamine";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://www.ria.ee/turvaintsidendist-teavitamine/";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-001";"Transport";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/?id=16544";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-002";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=27112";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-003";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=27124";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-004";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=27125";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-005";"Side ja meedia";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.konkurentsiamet.ee/index.php?id=11084";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-006";"Eluase";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.konkurentsiamet.ee/index.php?id=18324";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-007";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=18307";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-008";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=18307";"Epost.ajakulu";0;"Epost";"ajakulu"
"KA-009";"Energeetika";"Liitumine / Registreerumine";"Justiitsministeeriumi haldusala";"Konkurentsiamet";"Kliendile tasuta";"http://www.konkurentsiamet.ee/index.php?id=18307";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-001";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-003";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-004";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-005";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198931";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-006";"Lennundus";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-008";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-009";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-010";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-011";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-012";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-013";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-014";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-015";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-016";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-017";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Riigilõiv, riigimaks (tollimaks)";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
"LA-019";"Lennundus";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Lennuamet";"Kliendile tasuta";"http://www.ecaa.ee/index.php?id=198932";"Epost.ajakulu";0;"Epost";"ajakulu"
